method,has_post_data,payload_length,has_session_cookie,request_time_ms,response_status,response_size,has_xframe_options,has_csp,has_content_type,error_leaked,db_error_visible,payload_reflected,response_time_anomaly,label
,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,0.0,0.0,1.0,95.0,200.0,31271.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,0.0,0.0,1.0,1080.0,200.0,21973.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
,1.0,303.0,1.0,288.0,200.0,17473.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,92.0,0.0,0.0,200.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,92.0,0.0,0.0,200.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,1.0,199.0,1.0,6980.0,200.0,60684.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,92.0,0.0,0.0,200.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,1.0,290.0,1.0,1363.0,200.0,21662.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
,0.0,0.0,0.0,0.0,301.0,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,0.0,301.0,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,0.0,0.0,1.0,97.0,404.0,273.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,0.0,0.0,1.0,839.0,200.0,21991.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
,1.0,0.0,1.0,175.0,303.0,1517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
,1.0,182.0,1.0,149.0,200.0,60942.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
,0.0,0.0,1.0,94.0,200.0,19227.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,59804.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,92.0,0.0,0.0,200.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
,1.0,186.0,1.0,108.0,200.0,61072.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
,0.0,0.0,1.0,11.0,301.0,317.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,0.0,0.0,200.0,18609.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,0.0,0.0,200.0,21973.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
