method,has_post_data,payload_length,has_session_cookie,request_time_ms,response_status,response_size,has_xframe_options,has_csp,has_content_type,error_leaked,db_error_visible,payload_reflected,response_time_anomaly,label
1.0,1.0,0.0,1.0,64.0,200.0,18609.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,111.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,240.0,200.0,362712.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
0.0,1.0,0.0,1.0,100.0,303.0,1501.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,183.0,1.0,58.0,200.0,61351.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,84.0,1.0,109.0,200.0,16399.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,200.0,70279.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,97.0,404.0,273.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,94.0,200.0,19227.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,11.0,200.0,116708.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,112.0,303.0,1487.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,175.0,303.0,1517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,63.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,794.0,200.0,372.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,92.0,1.0,132.0,200.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,35.0,200.0,33964.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,2136.0,200.0,59802.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,4.0,200.0,1536.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,803.0,200.0,3000.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,1485.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,301.0,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,0.0,1.0,1673.0,303.0,1517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,95.0,200.0,31271.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,78.0,200.0,59807.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,381.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,808.0,200.0,21973.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,1131.0,200.0,18966.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,598.0,303.0,1517.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,199.0,1.0,6980.0,200.0,60684.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0,510.0,200.0,18949.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,183.0,1.0,56.0,200.0,60939.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,1121.0,200.0,1051443.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,182.0,1.0,149.0,200.0,60942.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,122.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,303.0,1.0,288.0,200.0,17473.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,201.0,200.0,2020.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,86.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,301.0,310.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,382.0,200.0,8632.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,104.0,200.0,19222.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
0.0,1.0,92.0,1.0,244.0,200.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,824.0,200.0,372.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,1080.0,200.0,21973.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1691.0,200.0,59809.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,1730.0,303.0,1487.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,194.0,200.0,21168.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,1120.0,200.0,362712.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,426.0,200.0,18353.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,745.0,200.0,70279.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,303.0,1.0,288.0,200.0,17473.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,530.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.0,1.0,178.0,1.0,469.0,303.0,1501.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,186.0,1.0,108.0,200.0,61072.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,0.0,0.0,1.0,839.0,200.0,21991.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
1.0,1.0,0.0,1.0,1277.0,200.0,82737.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,391.0,200.0,70279.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,11.0,301.0,317.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,290.0,1.0,1363.0,200.0,21662.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,14.0,1.0,364.0,403.0,9156.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,305.0,200.0,266804.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,562.0,200.0,26489.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
0.0,1.0,73.0,1.0,1778.0,303.0,1516.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
1.0,1.0,0.0,1.0,1046.0,200.0,26489.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,4583.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
1.0,1.0,0.0,1.0,9.0,200.0,440.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,0.0,1.0,147.0,303.0,1489.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,1.0,290.0,1.0,1363.0,200.0,21662.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
0.0,1.0,139.0,1.0,91.0,200.0,20476.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,301.0,313.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
