method,has_post_data,payload_length,has_session_cookie,request_time_ms,response_status,response_size,has_xframe_options,has_csp,has_content_type,error_leaked,db_error_visible,payload_reflected,response_time_anomaly,label,filename
POST,1,303,1,288,200,17473,1,0,1,1,1,0,0,1,SQL_Injection2.har
POST,1,290,1,1363,200,21662,1,0,1,1,1,0,1,1,SQL_Injection2.har
GET,0,0,0,1131,200,18966,1,0,1,1,1,0,1,1,Anti-SCRF.har
GET,0,0,1,0,200,70279,1,0,1,1,1,0,0,1,XSS.har
GET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,839,200,21991,1,0,1,1,1,0,0,1,FUll-Attack.har
GET,0,0,1,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,11,301,317,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,97,404,273,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,1080,200,21973,1,0,1,1,1,0,1,1,FUll-Attack.har
GET,0,0,1,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,0,0,301,313,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,194,200,21168,1,0,1,1,1,0,0,1,FUll-Attack.har
POST,1,84,1,109,200,16399,1,0,1,1,1,0,0,1,FUll-Attack.har
GET,0,0,1,94,200,19227,1,0,1,1,1,0,0,1,FUll-Attack.har
POST,1,303,1,288,200,17473,1,0,1,1,1,0,0,1,FUll-Attack.har
POST,1,290,1,1363,200,21662,1,0,1,1,1,0,1,1,FUll-Attack.har
POST,1,73,1,1778,303,1516,0,0,1,0,0,0,1,1,FUll-Attack.har
GET,1,0,1,598,303,1517,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,104,200,19222,1,0,1,1,1,0,0,1,FUll-Attack.har
GET,1,0,1,175,303,1517,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,112,303,1487,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,1730,303,1487,0,0,1,0,0,0,1,1,FUll-Attack.har
GET,0,0,1,1691,200,59809,1,0,1,1,1,0,1,1,FUll-Attack.har
POST,1,178,1,469,303,1501,0,0,1,0,0,0,0,1,FUll-Attack.har
POST,1,183,1,58,200,61351,1,0,1,1,1,0,0,1,FUll-Attack.har
POST,1,199,1,6980,200,60684,1,0,1,1,1,0,1,1,FUll-Attack.har
POST,1,183,1,56,200,60939,1,0,1,1,1,0,0,1,FUll-Attack.har
POST,1,182,1,149,200,60942,1,0,1,1,1,0,0,1,FUll-Attack.har
POST,1,186,1,108,200,61072,1,0,1,1,1,0,0,1,FUll-Attack.har
GET,1,0,1,78,200,59807,1,0,1,1,1,0,0,1,FUll-Attack.har
GET,0,0,1,0,301,310,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,95,200,31271,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,0,301,313,0,0,1,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,0,0,0,0,0,0,0,0,0,0,1,FUll-Attack.har
GET,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Calender-XSS.har_normal
GET,0,0,1,111,303,1504,0,0,1,0,0,0,0,0,Calender-XSS.har_normal
GET,0,0,1,32,303,1502,0,0,1,0,0,0,0,0,Calender-XSS.har_normal
POST,1,73,1,1778,303,1516,0,0,1,0,0,0,1,0,Information.har_normal
GET,1,0,1,175,303,1517,0,0,1,0,0,0,0,0,Information.har_normal
GET,0,0,1,27,303,1487,0,0,1,0,0,0,0,0,Information.har_normal
GET,0,0,1,19,200,7545,0,0,1,0,0,0,0,0,Hidden-File-Found.har_normal
GET,0,0,0,1131,200,18966,1,0,1,1,1,0,1,0,Timestamp-Disclosure.har_normal
